material_score,correct
0,0.8123291076311211
1,0.8355683928203013
2,0.7307603509311991
3,0.7654857142857143
4,0.7258366800535475
5,0.7481053771201732
6,0.6903610784441832
7,0.6858138634310056
8,0.6754667682760873
9,0.6936217769617626
10,0.669246160183605
11,0.6828308046859997
12,0.6921628782596569
13,0.6790076335877863
14,0.6847282760826968
15,0.6558314732142857
16,0.6799600744067873
17,0.6580410607356715
18,0.6782721920289855
19,0.6427308882015025
20,0.6967756265501795
21,0.6707197248833211
22,0.7282039496363905
23,0.7186875416389074
24,0.7793812589413448
