piece_count,accuracy
2,1.0
3,0.9289000418235048
4,0.8867708730461303
5,0.823980875691998
6,0.7652226337094135
7,0.7592986939239069
8,0.7367844955250789
9,0.7167755991285403
10,0.7056938754070806
11,0.683169739047163
12,0.6728498350623895
13,0.6643641516117605
14,0.6656866136285022
15,0.6491034248321578
16,0.6594616977225672
17,0.6547635273272455
18,0.6518521315560926
19,0.6536658048117796
20,0.6440477072375732
21,0.6495959320802688
22,0.6600230884150482
23,0.6603649929421255
24,0.671002693437806
25,0.6654105736782903
26,0.6916238124291816
27,0.7037798737678179
28,0.7245944005743
29,0.7305699481865285
30,0.7691994710609297
31,0.7747379641144075
32,0.8224697795686181
