material_score,correct
0,0.8021377081779766
1,0.8471219310913968
2,0.7245651839310451
3,0.7541333333333333
4,0.7134964098819521
5,0.7401144506882508
6,0.6738316128751253
7,0.6801342455143927
8,0.6664580044635567
9,0.6757404007344137
10,0.6495027364208792
11,0.6666026502784713
12,0.6753939478454888
13,0.6502544529262086
14,0.6606150277922181
15,0.6399274553571429
16,0.6694342361961798
17,0.6364414029084687
18,0.6643738677536232
19,0.6254971277065842
20,0.6792100099951875
21,0.653647752394989
22,0.7121821494820821
23,0.6993670886075949
24,0.7739270386266094
