material_score,correct
0,0.8100919711657967
1,0.8524860738601197
2,0.7330691088194551
3,0.7618285714285714
4,0.7240111963003529
5,0.7469196267464041
6,0.6766627466353065
7,0.6803924099651478
8,0.6665396548908606
9,0.6838029855512094
10,0.6554169363855705
11,0.6756289610140196
12,0.6797866406358946
13,0.6589058524173028
14,0.6650937737433519
15,0.6414620535714286
16,0.6700240460959122
17,0.636655260906758
18,0.6674592391304348
19,0.627817057003977
20,0.6839854884685151
21,0.6592974699091132
22,0.7175829407226226
23,0.7050299800133244
24,0.7791487839771102
