piece_count,accuracy
2,1.0
3,0.9322459222082811
4,0.8961113229126954
5,0.8366884750880724
6,0.7755576608388597
7,0.7666808631459399
8,0.744704140106883
9,0.7234931009440814
10,0.7051686101481248
11,0.6837921953555183
12,0.683558827747765
13,0.6679507616011335
14,0.6662919405050156
15,0.6572193422282655
16,0.6635610766045549
17,0.6605333696787969
18,0.6535513348185629
19,0.6594504579517069
20,0.6473442477220535
21,0.6602651411967675
22,0.6661347276925167
23,0.661070780399274
24,0.6707272282076395
25,0.6721597300337457
26,0.6960399779191726
27,0.7070420537550528
28,0.7300789662598708
29,0.7339577520924672
30,0.7760485538941444
31,0.7816663705809203
32,0.8267954491585684
