piece_count,accuracy
2,1.0
3,0.9322459222082811
4,0.9111704155547083
5,0.8556869652742828
6,0.8078546206183791
7,0.7871947756956275
8,0.7527525593973343
9,0.7466109900750424
10,0.7314318730959134
11,0.7138616231745272
12,0.7043075010756801
13,0.6945182430038965
14,0.6913265306122449
15,0.6830118126965242
16,0.6912215320910973
17,0.6904729453455091
18,0.682513310425556
19,0.6986721591656077
20,0.6836061930513372
21,0.6980386815581585
22,0.6960817601521119
23,0.6985783424077435
24,0.7039054848188051
25,0.712429696287964
26,0.7239315494349051
27,0.7407276079710658
28,0.7523043790380474
29,0.7604623355918693
30,0.7944597023022412
31,0.7916148516610411
32,0.829284190566485
