material_score,correct
0,0.8078548347004723
1,0.8411388487724366
2,0.744689856857011
3,0.7737904761904761
4,0.7430205671169526
5,0.7671804918286333
6,0.708828781741365
7,0.715373693042468
8,0.693620379946655
9,0.711582980761555
10,0.6910786794562467
11,0.6928173612444786
12,0.7056547204016176
13,0.706234096692112
14,0.7042828008157715
15,0.6833147321428571
16,0.7087246495168096
17,0.6845594525235243
18,0.697265625
19,0.6700176756517897
20,0.7145633583830008
21,0.6904937361827561
22,0.7453584385311162
23,0.7436708860759493
24,0.7936158798283262
