piece_count,accuracy
2,1.0
3,0.8874947720618988
4,0.8332062523827678
5,0.769627579265224
6,0.6856429248126776
7,0.6907296990346394
8,0.6463202627004057
9,0.6211571048172355
10,0.600273137934657
11,0.5666267656212592
12,0.5615528039393795
13,0.5342720510095643
14,0.5372708405396057
15,0.5273646638905414
16,0.5263768115942029
17,0.5225569033664985
18,0.5163312313559641
19,0.5236425785529603
20,0.509148825838951
21,0.5267865250158903
22,0.5204400380279778
23,0.539574510990119
24,0.5382284524975515
25,0.5598425196850394
26,0.5747697492663936
27,0.5970498546202397
28,0.6214501076812634
29,0.6593264248704663
30,0.6912148645441292
31,0.7191330609344466
32,0.7601327328750889
