material_score,correct
0,0.7233407904548844
1,0.7811017123994223
2,0.6383715561028167
3,0.6627809523809524
4,0.6062066447608616
5,0.6317987317626437
6,0.5221917330894202
7,0.5536982057570673
8,0.5248489467094878
9,0.5461004230861339
10,0.5060613193667981
11,0.5439792586902247
12,0.534618602705341
13,0.5282442748091603
14,0.5221737913384252
15,0.5125558035714286
16,0.5249308107617622
17,0.4853507271171942
18,0.5135020380434783
19,0.49436588599204595
20,0.5446821900566394
21,0.5448292802751167
22,0.6088119900848695
23,0.6367421718854097
24,0.7095314735336195
