material_score,correct
0,0.8140691026597067
1,0.854136579327419
2,0.7452670463290749
3,0.7796571428571428
4,0.7455519045880492
5,0.7707377429499407
6,0.7134239296136591
7,0.7119530140699626
8,0.7007784007402972
9,0.7127803943482078
10,0.693373742129112
11,0.7047244094488189
12,0.7189373866964162
13,0.7068702290076336
14,0.7080017595073379
15,0.6968470982142857
16,0.713397758722381
17,0.6892643284858854
18,0.7029834692028986
19,0.6806230667255855
20,0.7196720097730722
21,0.703635470400393
22,0.7494623832427729
23,0.7368421052631579
24,0.7945815450643777
