piece_count,accuracy
2,1.0
3,0.9230447511501464
4,0.9113610369805566
5,0.8616004026170105
6,0.8075101197140643
7,0.787549687677456
8,0.7569377374283691
9,0.751755022996853
10,0.7317995587771825
11,0.7121857792674168
12,0.7129129416264283
13,0.7023999291533829
14,0.6983742649602214
15,0.6869635421092887
16,0.6985507246376812
17,0.6990141292989869
18,0.6893856436204358
19,0.7027038871116175
20,0.686939773316542
21,0.7055298283846363
22,0.7014464212956675
23,0.7091147408751765
24,0.7102105778648384
25,0.7145669291338582
26,0.7308172811528516
27,0.7420041131834622
28,0.7558650394831299
29,0.760263053009167
30,0.7921879768080562
31,0.7953455320660864
32,0.8327802796871296
