piece_count,accuracy
2,1.0
3,0.9242994562944374
4,0.9069767441860465
5,0.8595873175641671
6,0.795624838515201
7,0.7790318001135719
8,0.7539115317751593
9,0.7362624061970467
10,0.7244458451518017
11,0.7050035910940866
12,0.7035425730267246
13,0.6909316330145235
14,0.6898132134209616
15,0.6760006798674258
16,0.6874534161490683
17,0.6872927172777248
18,0.6816448287580712
19,0.693763968622639
20,0.6824579598488777
21,0.6953600290565695
22,0.6949612929512426
23,0.6983262754587618
24,0.7042115572967679
25,0.711304836895388
26,0.7248031610447718
27,0.7373235940713424
28,0.7553194544149318
29,0.7581705858907931
30,0.7963923642898315
31,0.7942796233789305
32,0.8330173026783598
