piece_count,accuracy
2,1.0
3,0.931409452112087
4,0.8896301944338544
5,0.8319073980875692
6,0.7808974248557402
7,0.7675326519023282
8,0.7434807803747344
9,0.7245219075284435
10,0.7063241937178275
11,0.6888676083313383
12,0.6825070516804513
13,0.6686149486362026
14,0.6678484953303355
15,0.6553072150930569
16,0.6626501035196687
17,0.661351142610513
18,0.6545330967035456
19,0.6576537096279417
20,0.6492332765390029
21,0.660628348315627
22,0.6617207659921228
23,0.6640955837870538
24,0.6704211557296768
25,0.663273340832396
26,0.6911589529039194
27,0.7069002198425643
28,0.7250538406317301
29,0.7367477082502989
30,0.7717085410097311
31,0.7742050097708296
32,0.8179070869874377
