material_score,correct
0,0.7976634352473279
1,0.8539302661440066
2,0.7324534400492535
3,0.7691428571428571
4,0.7246440306681271
5,0.7389287003144817
6,0.6788623197874472
7,0.6820059377823674
8,0.6639812748353383
9,0.6832441925441047
10,0.6561819572765256
11,0.6739005185327444
12,0.6782178217821783
13,0.656615776081425
14,0.666133482624865
15,0.6431361607142857
16,0.6720203257565446
17,0.6452095808383234
18,0.6635246829710145
19,0.6284798939460893
20,0.6836152963387998
21,0.6494718742323753
22,0.7137580642513585
23,0.70236508994004
24,0.774087982832618
