train_loss,train_acc,val_loss,val_acc,epoch
1.2743493461079067,0.48194904676142264,1.1864572269110956,0.526980409243333,1
1.0206034848425123,0.5896968559352285,1.0248449267787738,0.5805806266754999,2
0.9275968590577444,0.6276367086091641,0.9614375678142183,0.6101999707772565,3
0.8726108754475912,0.6496892937110592,0.9998341428541893,0.5911563499837376,4
0.8364747917387221,0.6642100288811007,0.8648966942427508,0.6496628702734064,5
0.8085455397764841,0.6753399759865005,0.8471449845480024,0.656928337943421,6
0.7873779144816928,0.6838799487279336,0.8911430491929169,0.6369600732652888,7
0.7694228004614512,0.69095769567757,0.837176928036042,0.6580077190311008,8
0.7544456081125471,0.6967986293646158,0.9181426338368308,0.6285613161800105,9
0.7413765808211432,0.7021493120456905,0.9344556151600014,0.6246352460159638,10
0.7298380223645105,0.7065848589206906,0.8369617272969399,0.6600782594385006,11
0.7196349758572048,0.7106017791082555,0.8230796071856502,0.6671779765266125,12
0.7102105033397674,0.714359213557892,0.812626488888223,0.6752135649611313,13
0.7025880629751418,0.7171697604328919,0.8247745855879866,0.6705321149735073,14
0.694698120964898,0.7203486662772585,0.8401203635609598,0.6641542338478579,15
0.6877384595341153,0.7232286438051662,0.8450827401245821,0.6603987682119953,16
0.6813208080132802,0.7255224737149533,0.8485205299618301,0.6628968826588527,17
0.6752321865028805,0.7280008351992472,0.880424879821901,0.6507030601874338,18
0.6695264439582824,0.7301017957392264,0.8874753368795936,0.6534364713943527,19
0.6044411605728998,0.7563389408099689,0.8074657037193052,0.6873110137213688,20
0.5895246546798282,0.76194757836838,0.8165238784441768,0.6876971718034935,21
0.5827610683706071,0.764517300671729,0.8229744775099966,0.686252202787706,22
0.578193836900923,0.7662704439252337,0.8333564240981287,0.6851586418523419,23
0.573881616195043,0.7676962134118639,0.8399754596855047,0.6858439745716237,24
0.5705430876678891,0.7688150879413291,0.8434606163981831,0.6850399951181251,25
0.5671792381604512,0.7701180953076323,0.8466881885870325,0.6846894419702985,26
0.5550353183481428,0.774846319282191,0.8522645148604396,0.6852694416765711,27
