material_score,correct
0,0.8021377081779766
1,0.8518671343098824
2,0.729990764968447
3,0.7612952380952381
4,0.7250578069855178
5,0.746352528741558
6,0.6784267607474194
7,0.6783916354717955
8,0.6662402699907463
9,0.6794922966392593
10,0.6543282528099805
11,0.6708277318993663
12,0.6781480964997908
13,0.6701017811704835
14,0.6605750389890831
15,0.6480189732142857
16,0.6684360963658637
17,0.6410393498716852
18,0.6654495018115942
19,0.623950508174989
20,0.6825047199496539
21,0.6500859739621715
22,0.7142997849532972
23,0.7043637574950034
24,0.7752503576537911
