piece_count,accuracy
2,1.0
3,0.93099121706399
4,0.8900114372855509
5,0.8327881227981883
6,0.7684092670743261
7,0.7651192504258943
8,0.7421286459339386
9,0.7239772452190752
10,0.7049059775186469
11,0.6850849892267178
12,0.6820289716498542
13,0.6706517888770811
14,0.6710480802490487
15,0.6593439279340528
16,0.662608695652174
17,0.6568988233156149
18,0.6549862175735377
19,0.6610719137560804
20,0.6484554411437884
21,0.6614001634432035
22,0.6648105391823985
23,0.6575922565033273
24,0.6679419686581782
25,0.6681102362204724
26,0.6903454487347105
27,0.7084603928799376
28,0.7237329504666188
29,0.7347548824232762
30,0.7732004204387481
31,0.777402735832297
32,0.8172552737615548
