material_score,correct
0,0.8011434253044991
1,0.8489787497421085
2,0.7237955979682931
3,0.7584761904761905
4,0.7243762930509918
5,0.746352528741558
6,0.6750076222832004
7,0.6858138634310056
8,0.6644167437809592
9,0.6786141933423805
10,0.6579473901018066
11,0.663337814480507
12,0.6782526844233719
13,0.6521628498727735
14,0.663494221617947
15,0.6443917410714286
16,0.6671203665895377
17,0.6344097519247219
18,0.6659024003623188
19,0.6257180733539549
20,0.6809499130048495
21,0.6504544338000491
22,0.7153668105783278
23,0.7048634243837442
24,0.7767167381974249
