piece_count,accuracy
2,1.0
3,0.93099121706399
4,0.8963019443385436
5,0.8356819325616507
6,0.7786581689776936
7,0.7696621237932992
8,0.7403258000128775
9,0.7239772452190752
10,0.7034352347935707
11,0.6744553507301891
12,0.68107281158866
13,0.6642313142047467
14,0.6672431684538223
15,0.6580266847964646
16,0.6633126293995859
17,0.657489437099632
18,0.6498508477136276
19,0.6524387571760375
20,0.6464182532039411
21,0.6623535821302098
22,0.6602947168273802
23,0.6619278080258116
24,0.6703599412340843
25,0.6671541057367829
26,0.6909555768616171
27,0.7020778668179561
28,0.7286145010768126
29,0.7334595456357115
30,0.7745566744651273
31,0.7866406111209806
32,0.8211068973690449
