piece_count,accuracy
2,1.0
3,0.8695106649937264
4,0.8244376667937476
5,0.762455963764469
6,0.6878821806907243
7,0.681076093128904
8,0.6405254008112806
9,0.6141975308641975
10,0.5951255383968904
11,0.5622216902082835
12,0.5636085480709471
13,0.5276301806588736
14,0.5249048772051194
15,0.5195036967791281
16,0.5187163561076604
17,0.509517968288583
18,0.504625608881169
19,0.5054998027959157
20,0.499925920438551
21,0.5102606011077817
22,0.5177237539046584
23,0.5327182899778181
24,0.5416870714985309
25,0.5529246344206974
26,0.5761643278421802
27,0.6025813772072902
28,0.6345441493180186
29,0.662813870067756
30,0.7067100667955108
31,0.7365429028246581
32,0.7789760606778857
