piece_count,accuracy
2,1.0
3,0.8996235884567126
4,0.8358749523446435
5,0.7769250125817816
6,0.6934803203858411
7,0.6966212379329926
8,0.6606786427145709
9,0.6428830791575889
10,0.6148755121336275
11,0.575436916447211
12,0.5742697327532629
13,0.5466259298618491
14,0.547042545831892
15,0.5352256310019546
16,0.5360662525879917
17,0.5302348825587206
18,0.5186723558509232
19,0.5283316534466892
20,0.520445958959923
21,0.5289203668391901
22,0.5312372674181719
23,0.5427505545472877
24,0.5501958863858962
25,0.559392575928009
26,0.5831372207211133
27,0.6104531593504007
28,0.638851399856425
29,0.6654045436428856
30,0.7047095921066016
31,0.731213359388879
32,0.7755392273050485
