material_score,correct
0,0.7404921700223713
1,0.7945120693212296
2,0.659419732184085
3,0.6759619047619048
4,0.6283071680662042
5,0.6606176212816415
6,0.5452328063068949
7,0.5791274041564477
8,0.545125469489957
9,0.5623054202921689
10,0.5254810804448891
11,0.5662569617822163
12,0.5543508576209734
13,0.5472010178117048
14,0.5374895029391771
15,0.5354352678571429
16,0.5427158477383058
17,0.5201026518391788
18,0.5364583333333334
19,0.5153557224922669
20,0.5619331433013735
21,0.5649717514124294
22,0.6199747197005762
23,0.6480679546968687
24,0.7152539341917025
