material_score,correct
0,0.7996520009942829
1,0.8429956674231484
2,0.719447437278744
3,0.7569523809523809
4,0.7148350979676281
5,0.7417641903387122
6,0.6671893375147001
7,0.6771008132180198
8,0.6593272004790158
9,0.6754210904446396
10,0.6460012946507385
11,0.660457077011715
12,0.672500348626412
13,0.649236641221374
14,0.6617347142800016
15,0.6337890625
16,0.6624472573839663
17,0.6282078699743371
18,0.6606657608695652
19,0.6144498453380468
20,0.6798948654351609
21,0.6466470154753132
22,0.7152683159052481
23,0.7013657561625583
24,0.7792918454935622
