piece_count,accuracy
2,1.0
3,0.9368465077373483
4,0.8922988943957301
5,0.8383241066935078
6,0.7743519076737576
7,0.7632737081203862
8,0.731311570407572
9,0.7187726942628904
10,0.6936127744510978
11,0.6763706009097439
12,0.6713199789644787
13,0.6579436769394261
14,0.6585091663784157
15,0.6457890711311294
16,0.6513457556935818
17,0.6459951842260688
18,0.650115168221123
19,0.6459091108286954
20,0.6431957922809097
21,0.6481431036048306
22,0.6604644845850876
23,0.6544162129461585
24,0.6689826150832517
25,0.6628233970753655
26,0.6921177256747727
27,0.7095241472236011
28,0.7265470208183776
29,0.7330609804703069
30,0.7728274505814939
31,0.7825546278202168
32,0.8304100497748281
